"","ateneo","classe_di_laurea","corso_di_studio","year","Topic","regione","numero_di_università_reg"
"406","""Parthenope"" di NAPOLI","L-8","Ingegneria e Scienze Informatiche per la cybersecurity",2022,"Cloud","Campania",10
"407","""Parthenope"" di NAPOLI","L-8","Ingegneria e Scienze Informatiche per la cybersecurity",2022,"Cloud Computing","Campania",10
"408","""Parthenope"" di NAPOLI","L-16","Scienze dell'Amministrazione, dell'Organizzazione e Consulenza del lavoro",2022,"Sustainability","Campania",10
"409","""Parthenope"" di NAPOLI","L-18","Management delle imprese turistiche",2022,"Digital Marketing","Campania",10
"410","""Parthenope"" di NAPOLI","L-33","Economia e Commercio",2022,"Economia Circolare","Campania",10
"411","""Parthenope"" di NAPOLI","LM-18","Informatica Applicata (Machine Learning e Big Data)",2022,"Machine Learning","Campania",10
"412","""Parthenope"" di NAPOLI","LM-18","Informatica Applicata (Machine Learning e Big Data)",2022,"Big Data","Campania",10
"413","""Parthenope"" di NAPOLI","LM-18","Informatica Applicata (Machine Learning e Big Data)",2022,"Deep Learning","Campania",10
"414","""Parthenope"" di NAPOLI","LM-18","Informatica Applicata (Machine Learning e Big Data)",2022,"Cloud Computing","Campania",10
"415","""Parthenope"" di NAPOLI","LM-31","Ingegneria Gestionale",2022,"Green","Campania",10
"416","""Parthenope"" di NAPOLI","LM-77","MARKETING E MANAGEMENT INTERNAZIONALE",2022,"Digital Marketing","Campania",10
"417","Suor Orsola Benincasa - NAPOLI","L-18","ECONOMIA AZIENDALE E GREEN ECONOMY",2022,"Green Economy","Campania",10
"418","Suor Orsola Benincasa - NAPOLI","L-18","ECONOMIA AZIENDALE E GREEN ECONOMY",2022,"Green","Campania",10
"419","Suor Orsola Benincasa - NAPOLI","LM-43","Digital Humanities. Beni Culturali e Materie Letterarie",2022,"Digital Humanities","Campania",10
"420","Suor Orsola Benincasa - NAPOLI","LM-43","Digital Humanities. Beni Culturali e Materie Letterarie",2022,"Data Management","Campania",10
"421","Suor Orsola Benincasa - NAPOLI","LM-77","Economia, Management e Sostenibilità",2022,"Economia Circolare","Campania",10
"422","Suor Orsola Benincasa - NAPOLI","LM-77","Economia, Management e Sostenibilità",2022,"Green Economy","Campania",10
"423","PADOVA","L-13","Biologia della salute umana e ambientale",2022,"Big Data","Lombardia",13
"424","PADOVA","L-18","Economia",2022,"Analytics","Lombardia",13
"425","PADOVA","L-18","Economia",2022,"Digital Marketing","Lombardia",13
"426","PADOVA","L-41","Statistica per le Tecnologie e le Scienze",2022,"Big Data","Lombardia",13
"427","PADOVA","L-P01","Tecnologie digitali per l'edilizia e il territorio",2022,"Rilevamento Topografico","Lombardia",13
"428","PADOVA","LM-9","Biotecnologie per l'alimentazione",2022,"Green Economy","Lombardia",13
"429","PADOVA","LM-9","Biotecnologie per l'alimentazione",2022,"Soft Skills","Lombardia",13
"430","PADOVA","LM-9","Pharmaceutical Biotechnologies - Biotecnologie farmaceutiche",2022,"Soft Skills","Lombardia",13
"431","PADOVA","LM-17","Fisica dei Dati",2022,"Big Data","Lombardia",13
"432","PADOVA","LM-17","Fisica dei Dati",2022,"Data Science","Lombardia",13
"433","PADOVA","LM-17","Fisica dei Dati",2022,"Machine Learning","Lombardia",13
"434","PADOVA","LM-22","Ingegneria chimica e dei processi industriali",2022,"Economia Circolare","Lombardia",13
"435","PADOVA","LM-22","Ingegneria chimica e dei processi industriali",2022,"Sustainability","Lombardia",13
"436","PADOVA","LM-22","Ingegneria chimica e dei processi industriali",2022,"Industrial Engineering","Lombardia",13
"437","PADOVA","LM-25","Ingegneria dell'automazione",2022,"Machine Learning","Lombardia",13
"438","PADOVA","LM-25","Ingegneria dell'automazione",2022,"Industrial Engineering","Lombardia",13
"439","PADOVA","LM-25","Ingegneria dell'automazione",2022,"Data Science","Lombardia",13
"440","PADOVA","LM-27","ICT for Internet and multimedia - Ingegneria per le Comunicazioni Multimediali e Internet",2022,"Internet Delle Cose","Lombardia",13
"441","PADOVA","LM-27","ICT for Internet and multimedia - Ingegneria per le Comunicazioni Multimediali e Internet",2022,"Big Data","Lombardia",13
"442","PADOVA","LM-27","ICT for Internet and multimedia - Ingegneria per le Comunicazioni Multimediali e Internet",2022,"Internet Of Things","Lombardia",13
"443","PADOVA","LM-29","Ingegneria elettronica",2022,"Industrial Engineering","Lombardia",13
"444","PADOVA","LM-32","Ingegneria informatica",2022,"Priority","Lombardia",13
"445","PADOVA","LM-32","Ingegneria informatica",2022,"Big Data","Lombardia",13
"446","PADOVA","LM-32","Ingegneria informatica",2022,"Artificial Intelligence","Lombardia",13
"447","PADOVA","LM-51","Psicologia Clinica, Sociale e Interculturale",2022,"Sustainability","Lombardia",13
"448","PADOVA","LM-51","Psicologia Clinica, Sociale e Interculturale",2022,"Clinical Practice","Lombardia",13
"449","PADOVA","LM-61","Cibo e Salute",2022,"Sustainability","Lombardia",13
"450","PADOVA","LM-66","Sicurezza Informatica",2022,"Cybersecurity","Lombardia",13
"451","PADOVA","LM-66","Sicurezza Informatica",2022,"Deep Learning","Lombardia",13
"452","PADOVA","LM-66","Sicurezza Informatica",2022,"Digital Transformation","Lombardia",13
"453","PADOVA","LM-69","Sustainable agriculture - Agricoltura sostenibile",2022,"Agricoltura Di Precisione","Lombardia",13
"454","PADOVA","LM-69","Sustainable agriculture - Agricoltura sostenibile",2022,"Sustainability","Lombardia",13
"455","PADOVA","LM-73","Scienze forestali e ambientali",2022,"Obiettivi Di Sviluppo Sostenibile","Lombardia",13
"456","PADOVA","LM-81","Sviluppo Territoriale Sostenibile – Climate Change, diversity, cooperation",2022,"Economia Circolare","Lombardia",13
"457","PADOVA","LM-87","Innovazione e servizio sociale",2022,"Giustizia Riparativa","Lombardia",13
"458","PADOVA","LM-91","Data Science",2022,"Data Science","Lombardia",13
"459","PADOVA","LM-92","Strategie di comunicazione",2022,"Fake News","Lombardia",13
"460","PADOVA","LM-92","Strategie di comunicazione",2022,"Big Data","Lombardia",13
"461","PADOVA","LM-92","Strategie di comunicazione",2022,"Analytics","Lombardia",13
"462","PADOVA","LM-53.","Ingegneria dei Materiali",2022,"Soft Skills","Lombardia",13
"463","PADOVA","LM-53.","Ingegneria dei Materiali",2022,"Industrial Engineering","Lombardia",13
"464","PALERMO","L-8","Ingegneria Elettronica",2022,"Big Data","Sicilia",4
"465","PALERMO","L-8","Ingegneria Elettronica",2022,"Internet Of Things","Sicilia",4
"466","PALERMO","L-8","Ingegneria dell'Innovazione per le Imprese Digitali",2022,"Machine Learning","Sicilia",4
"467","PALERMO","L-8","Ingegneria Cibernetica",2022,"Machine Learning","Sicilia",4
"468","PALERMO","L-8","Ingegneria Cibernetica",2022,"Cloud","Sicilia",4
"469","PALERMO","L-8","Ingegneria Cibernetica",2022,"Big Data","Sicilia",4
"470","PALERMO","L-8","Ingegneria Cibernetica",2022,"Internet Delle Cose","Sicilia",4
"471","PALERMO","L-9","Ingegneria Gestionale",2022,"Digital Transformation","Sicilia",4
"472","PALERMO","L-9","Ingegneria Elettrica per la E-Mobility",2022,"Mobilità Elettrica","Sicilia",4
"473","PALERMO","L-18","Economia e amministrazione aziendale",2022,"Economia Circolare","Sicilia",4
"474","PALERMO","L-26","Scienze e Tecnologie Agroalimentari",2022,"Nutraceutica","Sicilia",4
"475","PALERMO","LM-6","Neuroscienze",2022,"Bioeconomia","Sicilia",4
"476","PALERMO","LM-6","Neuroscienze",2022,"Big Data","Sicilia",4
"477","PALERMO","LM-18","Dati, Algoritmi, e Intelligenza Artificiale",2022,"Deep Learning","Sicilia",4
"478","PALERMO","LM-22","Ingegneria Chimica",2022,"Economia Circolare","Sicilia",4
"479","PALERMO","LM-25","Ingegneria dei Sistemi Ciber-Fisici per l'Industria",2022,"Machine Learning","Sicilia",4
"480","PALERMO","LM-25","Ingegneria dei Sistemi Ciber-Fisici per l'Industria",2022,"Deep Learning","Sicilia",4
"481","PALERMO","LM-25","Ingegneria dei Sistemi Ciber-Fisici per l'Industria",2022,"Cybersecurity","Sicilia",4
"482","PALERMO","LM-28","Ingegneria Elettrica",2022,"Mobilità Elettrica","Sicilia",4
"483","PALERMO","LM-28","Ingegneria Elettrica",2022,"Green","Sicilia",4
"484","PALERMO","LM-28","Ingegneria Elettrica",2022,"Economia Circolare","Sicilia",4
"485","PALERMO","LM-29","Ingegneria elettronica e delle telecomunicazioni",2022,"Cybersecurity","Sicilia",4
"486","PALERMO","LM-29","Ingegneria Elettronica",2022,"Internet Delle Cose","Sicilia",4
"487","PALERMO","LM-29","Ingegneria Elettronica",2022,"Internet Of Things","Sicilia",4
"488","PALERMO","LM-30","Ingegneria Energetica e Nucleare",2022,"Green","Sicilia",4
"489","PALERMO","LM-31","Ingegneria gestionale",2022,"Economia Circolare","Sicilia",4
"490","PALERMO","LM-31","Ingegneria gestionale",2022,"Digital Transformation","Sicilia",4
"491","PALERMO","LM-31","Ingegneria gestionale",2022,"Soft Skills","Sicilia",4
"492","PALERMO","LM-31","Ingegneria Gestionale",2022,"Economia Circolare","Sicilia",4
"493","PALERMO","LM-31","Ingegneria Gestionale",2022,"Digital Transformation","Sicilia",4
"494","PALERMO","LM-31","Ingegneria Gestionale",2022,"Soft Skills","Sicilia",4
"495","PALERMO","LM-32","Ingegneria Informatica",2022,"Big Data","Sicilia",4
"496","PALERMO","LM-41","Medicina e chirurgia",2022,"Malattie Rare","Sicilia",4
"497","PALERMO","LM-52","Relazioni internazionali, politiche e commerciali",2022,"Digital Marketing","Sicilia",4
"498","PALERMO","LM-73","Scienze e Tecnologie Agroingegneristiche e Forestali",2022,"Green","Sicilia",4
"499","PALERMO","LM-73","Scienze e Tecnologie Agroingegneristiche e Forestali",2022,"Obiettivi Di Sviluppo Sostenibile","Sicilia",4
"500","PALERMO","LM-73","Scienze e Tecnologie Agroingegneristiche e Forestali",2022,"Sustainable Development Goals","Sicilia",4
"501","PALERMO","LM-73","Scienze e Tecnologie Agroingegneristiche e Forestali",2022,"Agricoltura Di Precisione","Sicilia",4
"502","PALERMO","LM-82","Statistica e Data Science",2022,"Data Science","Sicilia",4
"503","PARMA","L-4","Design Sostenibile per il Sistema Alimentare",2022,"Soft Skills","Emilia-Romagna",4
"504","PARMA","L-8","Ingegneria Informatica, Elettronica e delle Telecomunicazioni",2022,"Internet Of Things","Emilia-Romagna",4
"505","PARMA","L-10","Lettere",2022,"Digital Humanities","Emilia-Romagna",4
"506","PARMA","L-18","Sistema Alimentare: Sostenibilita', Management e Tecnologie",2022,"Bioeconomia","Emilia-Romagna",4
"507","PARMA","L-18","Economia e Management",2022,"Big Data","Emilia-Romagna",4
"508","PARMA","L-19","Scienze dell'Educazione e dei Processi Formativi",2022,"Soft Skills","Emilia-Romagna",4
"509","PARMA","LM-32","Ingegneria Informatica",2022,"Machine Learning","Emilia-Romagna",4
"510","PARMA","LM-32","Ingegneria Informatica",2022,"Deep Learning","Emilia-Romagna",4
"511","PARMA","LM-32","Ingegneria Informatica",2022,"Big Data","Emilia-Romagna",4
"512","PARMA","LM-32","Ingegneria Informatica",2022,"Cybersecurity","Emilia-Romagna",4
"513","PARMA","LM-32","Ingegneria Informatica",2022,"Cloud","Emilia-Romagna",4
"514","PARMA","LM-41","Medicina e chirurgia",2022,"Malattie Rare","Emilia-Romagna",4
"515","PARMA","LM-77","Trade e Consumer Marketing",2022,"Data Science","Emilia-Romagna",4
"516","PAVIA","L-10","Lettere",2022,"Digital Humanities","Lombardia",13
"517","PAVIA","L-20","Comunicazione, innovazione, multimedialità",2022,"Big Data","Lombardia",13
"518","PAVIA","L-20","Comunicazione, innovazione, multimedialità",2022,"Diritto Della Proprietà Intellettuale","Lombardia",13
"519","PAVIA","L-31","Intelligenza artificiale",2022,"Artificial Intelligence","Lombardia",13
"520","PAVIA","LM-6","Biologia molecolare e genetica",2022,"Big Data","Lombardia",13
"521","PAVIA","LM-9","Benessere nel ciclo di vita e invecchiamento in salute",2022,"Big Data","Lombardia",13
"522","PAVIA","LM-16","Finance - Finanza",2022,"Machine Learning","Lombardia",13
"523","PAVIA","LM-16","Finance - Finanza",2022,"Python","Lombardia",13
"524","PAVIA","LM-28","Ingegneria elettrica",2022,"Mobilità Elettrica","Lombardia",13
"525","PAVIA","LM-56","Economics, Development and Innovation - Economia, Sviluppo e Innovazione",2022,"Data Science","Lombardia",13
"526","PAVIA","LM-59","Comunicazione Digitale",2022,"Cybersecurity","Lombardia",13
"527","PAVIA","LM-59","Comunicazione Digitale",2022,"Machine Learning","Lombardia",13
"528","PAVIA","LM-59","Comunicazione Digitale",2022,"Digital Marketing","Lombardia",13
"529","PAVIA","LM-69","Sostenibilità agro-alimentare",2022,"Sustainability","Lombardia",13
"530","PAVIA","LM-77","International business and entrepreneurship - Management internazionale e imprenditorialità",2022,"Soft Skills","Lombardia",13
"531","PAVIA","LM-84","Storia globale delle civiltà e dei territori",2022,"Digital Humanities","Lombardia",13
"532","PERUGIA","L-P01","Tecniche digitali per la gestione sostenibile delle costruzioni, dell’ambiente e del territorio",2022,"Rilevamento Topografico","Umbria",2
"533","PERUGIA","LM-32","Ingegneria Informatica e Robotica",2022,"Machine Learning","Umbria",2
"534","PERUGIA","LM-32","Ingegneria Informatica e Robotica",2022,"Data Science","Umbria",2
"535","PERUGIA","LM-32","Ingegneria Informatica e Robotica",2022,"Big Data","Umbria",2
"536","PERUGIA","LM-32","Ingegneria Informatica e Robotica",2022,"Business Analytics","Umbria",2
"537","PERUGIA","LM-35","INGEGNERIA PER L'AMBIENTE E IL TERRITORIO",2022,"Economia Circolare","Umbria",2
"538","PERUGIA","LM-53","INGEGNERIA DEI MATERIALI E DEI PROCESSI SOSTENIBILI",2022,"Green","Umbria",2
"539","PERUGIA","LM-69","AGRICOLTURA SOSTENIBILE",2022,"Bioeconomia","Umbria",2
"540","PERUGIA","LM-69","AGRICOLTURA SOSTENIBILE",2022,"Economia Circolare","Umbria",2
"541","Stranieri di PERUGIA","L-10","Digital Humanities per l'italiano",2022,"Digital Humanities","Umbria",2
"542","Stranieri di PERUGIA","L-37","Studi Internazionali per la Sostenibilita' e la Sicurezza Sociale",2022,"Soft Skills","Umbria",2
"543","Stranieri di PERUGIA","L-37","Studi Internazionali per la Sostenibilita' e la Sicurezza Sociale",2022,"Green","Umbria",2
"544","PIEMONTE ORIENTALE","L-27","Chimica verde",2022,"Economia Circolare","Piemonte",3
"545","PIEMONTE ORIENTALE","LM-6","Alimenti Salute e Ambiente",2022,"Bioeconomia","Piemonte",3
"546","PIEMONTE ORIENTALE","LM-9","BIOTECNOLOGIE FARMACEUTICHE",2022,"Soft Skills","Piemonte",3
"547","PIEMONTE ORIENTALE","LM-18","Intelligenza Artificiale e Innovazione Digitale",2022,"Machine Learning","Piemonte",3
"548","PIEMONTE ORIENTALE","LM-18","Intelligenza Artificiale e Innovazione Digitale",2022,"Deep Learning","Piemonte",3
"549","PIEMONTE ORIENTALE","LM-18","Intelligenza Artificiale e Innovazione Digitale",2022,"Big Data","Piemonte",3
"550","PIEMONTE ORIENTALE","LM-18","Intelligenza Artificiale e Innovazione Digitale",2022,"Cybersecurity","Piemonte",3
"551","PIEMONTE ORIENTALE","LM-77","MANAGEMENT E FINANZA",2022,"Big Data","Piemonte",3
"552","PISA","L-25","SCIENZE AGRARIE",2022,"Soft Skills","Toscana",4
"553","PISA","LM-9","Biotecnologie e Intelligenza Artificiale Applicata per la Salute",2022,"Artificial Intelligence","Toscana",4
"554","PISA","LM-9","Biotecnologie e Intelligenza Artificiale Applicata per la Salute",2022,"Big Data","Toscana",4
"555","PISA","LM-18","Scienza dei Dati e Informatica per l'Azienda",2022,"Data Science","Toscana",4
"556","PISA","LM-18","Scienza dei Dati e Informatica per l'Azienda",2022,"Analytics","Toscana",4
"557","PISA","LM-18","INFORMATICA",2022,"Deep Learning","Toscana",4
"558","PISA","LM-18","INFORMATICA",2022,"Big Data","Toscana",4
"559","PISA","LM-29","Ingegneria Elettronica",2022,"Internet Of Things","Toscana",4
"560","PISA","LM-32","Intelligenza Artificiale e Ingegneria dei Dati",2022,"Artificial Intelligence","Toscana",4
"561","PISA","LM-32","Intelligenza Artificiale e Ingegneria dei Dati",2022,"Data Science","Toscana",4
"562","PISA","LM-32","Intelligenza Artificiale e Ingegneria dei Dati",2022,"Machine Learning","Toscana",4
"563","PISA","LM-32","Intelligenza Artificiale e Ingegneria dei Dati",2022,"Text Mining","Toscana",4
"564","PISA","LM-32","Intelligenza Artificiale e Ingegneria dei Dati",2022,"Data Analytics","Toscana",4
"565","PISA","LM-32","Ingegneria Informatica",2022,"Internet Delle Cose","Toscana",4
"566","PISA","LM-33","TECNOLOGIA E PRODUZIONE DELLA CARTA E DEL CARTONE",2022,"Economia Circolare","Toscana",4
"567","PISA","LM-33","TECNOLOGIA E PRODUZIONE DELLA CARTA E DEL CARTONE",2022,"Soft Skills","Toscana",4
"568","PISA","LM-61","SCIENZE DELLA NUTRIZIONE UMANA",2022,"Nutraceutica","Toscana",4
"569","PISA","LM-66","SICUREZZA INFORMATICA",2022,"Cybersecurity","Toscana",4
"570","PISA","LM-69","Sistemi Agricoli Sostenibili",2022,"Bioeconomia","Toscana",4
"571","PISA","LM-69","Sistemi Agricoli Sostenibili",2022,"Agricoltura Di Precisione","Toscana",4
"572","PISA","LM-77","MANAGEMENT E CONTROLLO DEI PROCESSI LOGISTICI",2022,"Cybersecurity","Toscana",4
"573","PISA","LM-81","Scienze per la Pace: trasformazione dei conflitti e cooperazione allo sviluppo",2022,"Giustizia Sociale","Toscana",4
"574","Politecnica delle MARCHE","L-8","INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE",2022,"Internet Delle Cose","Marche",4
"575","Politecnica delle MARCHE","L-25","SISTEMI AGRICOLI INNOVATIVI",2022,"Agricoltura Di Precisione","Marche",4
"576","Politecnica delle MARCHE","L-25","SISTEMI AGRICOLI INNOVATIVI",2022,"Economia Circolare","Marche",4
"577","Politecnica delle MARCHE","L-33","DIGITAL ECONOMICS AND BUSINESS",2022,"Digital Transformation","Marche",4
"578","Politecnica delle MARCHE","L-33","DIGITAL ECONOMICS AND BUSINESS",2022,"Machine Learning","Marche",4
"579","Politecnica delle MARCHE","L-33","DIGITAL ECONOMICS AND BUSINESS",2022,"Data Analytics","Marche",4
"580","Politecnica delle MARCHE","LM-6","BIOLOGIA MOLECOLARE E APPLICATA",2022,"Big Data","Marche",4
"581","Politecnica delle MARCHE","LM-21","Biomedical Engineering",2022,"Industrial Engineering","Marche",4
"582","Politecnica delle MARCHE","LM-21","Biomedical Engineering",2022,"Clinical Practice","Marche",4
"583","Politecnica delle MARCHE","LM-30","Ingegneria Industriale Sostenibile",2022,"Green","Marche",4
"584","Politecnica delle MARCHE","LM-30","Ingegneria Industriale Sostenibile",2022,"Industrial Engineering","Marche",4
"585","Politecnica delle MARCHE","LM-30","Ingegneria Industriale Sostenibile",2022,"Cybersecurity","Marche",4
"586","Politecnica delle MARCHE","LM-30","Ingegneria Industriale Sostenibile",2022,"Economia Circolare","Marche",4
"587","Politecnica delle MARCHE","LM-30","Ingegneria Industriale Sostenibile",2022,"Soft Skills","Marche",4
"588","Politecnica delle MARCHE","LM-31","Ingegneria Gestionale",2022,"Soft Skills","Marche",4
"589","Politecnica delle MARCHE","LM-31","Ingegneria Gestionale",2022,"Data Science","Marche",4
"590","Politecnica delle MARCHE","LM-32","INGEGNERIA INFORMATICA E DELL'AUTOMAZIONE",2022,"Machine Learning","Marche",4
"591","Politecnica delle MARCHE","LM-33","Ingegneria Meccanica",2022,"Soft Skills","Marche",4
"592","Politecnica delle MARCHE","LM-41","Medicina e chirurgia",2022,"Big Data","Marche",4
"593","Politecnica delle MARCHE","LM-41","Medicina e chirurgia",2022,"Artificial Intelligence","Marche",4
"594","Politecnica delle MARCHE","LM-41","Medicina e chirurgia",2022,"Clinical Practice","Marche",4
"595","Politecnica delle MARCHE","LM-41","Medicina e chirurgia",2022,"Machine Learning","Marche",4
"596","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Internet Of Things","Marche",4
"597","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Big Data","Marche",4
"598","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Analisi Delle Serie Storiche","Marche",4
"599","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Data Management","Marche",4
"600","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Scalabilità","Marche",4
"601","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Cloud","Marche",4
"602","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Analytics","Marche",4
"603","Politecnica delle MARCHE","LM-56","DATA SCIENCE PER L'ECONOMIA E LE IMPRESE",2022,"Data Analytics","Marche",4
"604","Politecnica delle MARCHE","LM-70","Food and Beverage Innovation and Management",2022,"Sustainability","Marche",4
"605","Politecnica delle MARCHE","LM-77","MANAGEMENT DELLA SOSTENIBILITA' ED ECONOMIA CIRCOLARE",2022,"Economia Circolare","Marche",4
"606","Mediterranea di REGGIO CALABRIA","L-8","Ingegneria informatica, elettronica e delle telecomunicazioni",2022,"Cybersecurity","Calabria",4
"607","Mediterranea di REGGIO CALABRIA","L-P01","Tecniche per l'edilizia e il territorio",2022,"Building Information Modeling","Calabria",4
"608","Mediterranea di REGGIO CALABRIA","LM-27","Ingegneria Informatica e dei sistemi per le Telecomunicazioni",2022,"Internet Of Things","Calabria",4
"609","Mediterranea di REGGIO CALABRIA","LM-30","Ingegneria per la gestione sostenibile dell'ambiente e dell'energia",2022,"Economia Circolare","Calabria",4
"610","ROMA ""La Sapienza""","L-9","Ingegneria dell'Energia Elettrica",2022,"Mobilità Elettrica","Lazio",11
"611","ROMA ""La Sapienza""","L-23","Ingegneria dell’Innovazione Tecnologica per l’Edilizia",2022,"Economia Circolare","Lazio",11
"612","ROMA ""La Sapienza""","L-29","Biologia molecolare, Chimica farmaceutica e Informatica per applicazioni farmaceutiche",2022,"Machine Learning","Lazio",11
"613","ROMA ""La Sapienza""","L-29","Scienze Farmaceutiche Applicate",2022,"Nutraceutica","Lazio",11
"614","ROMA ""La Sapienza""","L-31","Informatica Applicata e Intelligenza Artificiale",2022,"Artificial Intelligence","Lazio",11
"615","ROMA ""La Sapienza""","L-31","Informatica Applicata e Intelligenza Artificiale",2022,"Machine Learning","Lazio",11
"616","ROMA ""La Sapienza""","L-31","Informatica Applicata e Intelligenza Artificiale",2022,"Big Data","Lazio",11
"617","ROMA ""La Sapienza""","L-35","Scienze matematiche per l’intelligenza artificiale",2022,"Machine Learning","Lazio",11
"618","ROMA ""La Sapienza""","L-35","Scienze matematiche per l’intelligenza artificiale",2022,"Soft Skills","Lazio",11
"619","ROMA ""La Sapienza""","L-41","Statistica gestionale",2022,"Data Science","Lazio",11
"620","ROMA ""La Sapienza""","L-P01","Professioni tecniche per l'edilizia e il territorio",2022,"Rilevamento Topografico","Lazio",11
"621","ROMA ""La Sapienza""","LM-12","Product and Service Design",2022,"Service Design","Lazio",11
"622","ROMA ""La Sapienza""","LM-27","Ingegneria delle Comunicazioni",2022,"Servizi E Applicazioni","Lazio",11
"623","ROMA ""La Sapienza""","LM-28","Ingegneria dell'Energia Elettrica",2022,"Mobilità Elettrica","Lazio",11
"624","ROMA ""La Sapienza""","LM-35","Ingegneria dell'Ambiente per lo Sviluppo Sostenibile",2022,"Economia Circolare","Lazio",11
"625","ROMA ""La Sapienza""","LM-35","Ingegneria per l'Ambiente e il Territorio",2022,"Big Data","Lazio",11
"626","ROMA ""La Sapienza""","LM-40","Matematica applicata",2022,"Machine Learning","Lazio",11
"627","ROMA ""La Sapienza""","LM-51","Psicologia giuridica, forense e criminologica",2022,"Giustizia Riparativa","Lazio",11
"628","ROMA ""La Sapienza""","LM-59","Organizzazione e marketing per la comunicazione d'impresa",2022,"Flipped Classroom","Lazio",11
"629","ROMA ""La Sapienza""","LM-66","Cybersecurity",2022,"Cybersecurity","Lazio",11
"630","ROMA ""La Sapienza""","LM-82","Scienze statistiche",2022,"Data Science","Lazio",11
"631","ROMA ""La Sapienza""","LM-82","Scienze statistiche",2022,"Big Data","Lazio",11
"632","ROMA ""La Sapienza""","LM-88","Sociologia per la sostenibilità e analisi dei processi globali",2022,"Data Science","Lazio",11
"633","ROMA ""La Sapienza""","LM-88","Sociologia per la sostenibilità e analisi dei processi globali",2022,"Soft Skills","Lazio",11
"634","ROMA ""La Sapienza""","LM-91","Data Science",2022,"Data Science","Lazio",11
"635","ROMA ""La Sapienza""","LM-91","Data Science",2022,"Big Data","Lazio",11
"636","ROMA ""La Sapienza""","LM-91","Data Science",2022,"Cloud Computing","Lazio",11
"637","ROMA ""La Sapienza""","LM/GASTR","Management delle scienze gastronomiche per il benessere",2022,"Soft Skills","Lazio",11
"638","ROMA ""Tor Vergata""","LM-8","Biotechnology - Biotecnologie",2022,"Data Management","Lazio",11
"639","ROMA ""Tor Vergata""","LM-30","Ingegneria Energetica",2022,"Economia Circolare","Lazio",11
"640","ROMA ""Tor Vergata""","LM-90","European Economy and Business Law",2022,"Soft Skills","Lazio",11
"641","ROMA TRE","L-9","Ingegneria delle Tecnologie Aeronautiche e del Trasporto Aereo",2022,"Green","Lazio",11
"642","ROMA TRE","L-9","Ingegneria delle Tecnologie Aeronautiche e del Trasporto Aereo",2022,"Machine Learning","Lazio",11
"643","ROMA TRE","L-14","Servizi giuridici per la sicurezza territoriale e informatica",2022,"Cloud Computing","Lazio",11
"644","ROMA TRE","L-14","Servizi giuridici per la sicurezza territoriale e informatica",2022,"Internet Of Things","Lazio",11
"645","ROMA TRE","L-33","Economia e Big Data",2022,"Big Data","Lazio",11
"646","ROMA TRE","L-37","Politiche, cooperazione e sviluppo",2022,"Posture","Lazio",11
"647","ROMA TRE","LM-32","Ingegneria informatica",2022,"Big Data","Lazio",11
"648","ROMA TRE","LM-32","Ingegneria informatica",2022,"Cybersecurity","Lazio",11
"649","ROMA TRE","LM-52","Politiche per la Sicurezza Globale: Ambiente, Energia e Conflitti",2022,"Soft Skills","Lazio",11
"650","ROMA TRE","LM-52","Politiche per la Sicurezza Globale: Ambiente, Energia e Conflitti",2022,"Sustainability","Lazio",11
"651","ROMA TRE","LM-52","Politiche per la Sicurezza Globale: Ambiente, Energia e Conflitti",2022,"Ethics","Lazio",11
"652","ROMA TRE","LM-77","Economia e management",2022,"Big Data","Lazio",11
"653","ROMA TRE","LM/SC-GIUR","Scienze giuridiche per le nuove tecnologie",2022,"Diritto Della Proprietà Intellettuale","Lazio",11
"654","ROMA TRE","LM/SC-GIUR","Scienze giuridiche per le nuove tecnologie",2022,"Giustizia Sociale","Lazio",11
"655","Luiss Guido Carli","L-18","MANAGEMENT E COMPUTER SCIENCE",2022,"Data Science","Lazio",11
"656","Luiss Guido Carli","L-18","MANAGEMENT E COMPUTER SCIENCE",2022,"Cybersecurity","Lazio",11
"657","Luiss Guido Carli","L-18","AMMINISTRAZIONE AZIENDALE",2022,"Soft Skills","Lazio",11
"658","Luiss Guido Carli","L-33","ECONOMIA E BUSINESS",2022,"Soft Skills","Lazio",11
"659","Luiss Guido Carli","LM-77","MANAGEMENT STRATEGICO",2022,"Blockchain","Lazio",11
"660","Luiss Guido Carli","LM-77","MANAGEMENT STRATEGICO",2022,"Soft Skills","Lazio",11
"661","Luiss Guido Carli","LM-77","MANAGEMENT E POLITICA GLOBALE",2022,"Big Data","Lazio",11
