"","Topic","regione","n","region"
"95","Mobilità Elettrica","Basilicata",0,"BASILICATA"
"96","Motori Elettrici","Basilicata",0,"BASILICATA"
"97","Nutraceutica","Basilicata",0,"BASILICATA"
"98","Obiettivi Di Sviluppo Sostenibile","Basilicata",0,"BASILICATA"
"99","Posture","Basilicata",0,"BASILICATA"
"100","Priority","Basilicata",0,"BASILICATA"
"101","Python","Basilicata",0,"BASILICATA"
"102","Rilevamento Topografico","Basilicata",0,"BASILICATA"
"103","Scalabilità","Basilicata",0,"BASILICATA"
"104","Scienze Delle Produzioni","Basilicata",0,"BASILICATA"
"105","Scienze Gastronomiche","Basilicata",0,"BASILICATA"
"106","Service Design","Basilicata",0,"BASILICATA"
"107","Servizi E Applicazioni","Basilicata",0,"BASILICATA"
"108","Soft Skills","Basilicata",0,"BASILICATA"
"109","Sustainability","Basilicata",0,"BASILICATA"
"110","Sustainable Development Goals","Basilicata",0,"BASILICATA"
"111","Tecnologie Ingegneristiche","Basilicata",0,"BASILICATA"
"112","Text Mining","Basilicata",0,"BASILICATA"
"113","Things","Basilicata",0,"BASILICATA"
"114","Trasformazione Digitale","Basilicata",0,"BASILICATA"
"115","Agricoltura Di Precisione","Calabria",0,"CALABRIA"
"116","Analisi Delle Serie Storiche","Calabria",1,"CALABRIA"
"117","Analytics","Calabria",1,"CALABRIA"
"118","Artificial Intelligence","Calabria",1,"CALABRIA"
"119","Big Data","Calabria",2,"CALABRIA"
"120","Bioeconomia","Calabria",0,"CALABRIA"
"121","Blockchain","Calabria",0,"CALABRIA"
"122","Building Information Modeling","Calabria",1,"CALABRIA"
"123","Business Analytics","Calabria",0,"CALABRIA"
"124","Clinical Practice","Calabria",0,"CALABRIA"
"125","Cloud","Calabria",1,"CALABRIA"
"126","Cloud Computing","Calabria",1,"CALABRIA"
"127","Competenze Digitali","Calabria",1,"CALABRIA"
"128","Cybersecurity","Calabria",3,"CALABRIA"
"129","Data Analytics","Calabria",2,"CALABRIA"
"130","Data Management","Calabria",1,"CALABRIA"
"131","Data Science","Calabria",3,"CALABRIA"
"132","Deep Learning","Calabria",1,"CALABRIA"
"133","Digital Humanities","Calabria",0,"CALABRIA"
"134","Digital Marketing","Calabria",0,"CALABRIA"
"135","Digital Transformation","Calabria",0,"CALABRIA"
"136","Diritto Della Proprietà Intellettuale","Calabria",0,"CALABRIA"
"137","Economia Circolare","Calabria",2,"CALABRIA"
"138","Ethics","Calabria",0,"CALABRIA"
"139","Fake News","Calabria",0,"CALABRIA"
"140","Flipped Classroom","Calabria",1,"CALABRIA"
"141","Genealogia","Calabria",0,"CALABRIA"
"142","Giustizia Riparativa","Calabria",0,"CALABRIA"
"143","Giustizia Sociale","Calabria",0,"CALABRIA"
"144","Green","Calabria",0,"CALABRIA"
"145","Green Economy","Calabria",0,"CALABRIA"
"146","Industrial Engineering","Calabria",0,"CALABRIA"
"147","Internet Delle Cose","Calabria",0,"CALABRIA"
"148","Internet Of Things","Calabria",2,"CALABRIA"
"149","Machine Learning","Calabria",3,"CALABRIA"
"150","Malattie Rare","Calabria",0,"CALABRIA"
"151","Marketing Digitale","Calabria",0,"CALABRIA"
"152","Mobilità Elettrica","Calabria",0,"CALABRIA"
"153","Motori Elettrici","Calabria",0,"CALABRIA"
"154","Nutraceutica","Calabria",2,"CALABRIA"
"155","Obiettivi Di Sviluppo Sostenibile","Calabria",0,"CALABRIA"
"156","Posture","Calabria",0,"CALABRIA"
"157","Priority","Calabria",0,"CALABRIA"
"158","Python","Calabria",0,"CALABRIA"
"159","Rilevamento Topografico","Calabria",0,"CALABRIA"
"160","Scalabilità","Calabria",0,"CALABRIA"
"161","Scienze Delle Produzioni","Calabria",0,"CALABRIA"
"162","Scienze Gastronomiche","Calabria",0,"CALABRIA"
"163","Service Design","Calabria",0,"CALABRIA"
"164","Servizi E Applicazioni","Calabria",0,"CALABRIA"
"165","Soft Skills","Calabria",1,"CALABRIA"
"166","Sustainability","Calabria",0,"CALABRIA"
"167","Sustainable Development Goals","Calabria",0,"CALABRIA"
"168","Tecnologie Ingegneristiche","Calabria",0,"CALABRIA"
"169","Text Mining","Calabria",1,"CALABRIA"
"170","Things","Calabria",1,"CALABRIA"
"171","Trasformazione Digitale","Calabria",0,"CALABRIA"
"172","Agricoltura Di Precisione","Campania",0,"CAMPANIA"
"173","Analisi Delle Serie Storiche","Campania",0,"CAMPANIA"
"174","Analytics","Campania",2,"CAMPANIA"
"175","Artificial Intelligence","Campania",0,"CAMPANIA"
"176","Big Data","Campania",6,"CAMPANIA"
"177","Bioeconomia","Campania",1,"CAMPANIA"
"178","Blockchain","Campania",1,"CAMPANIA"
"179","Building Information Modeling","Campania",1,"CAMPANIA"
"180","Business Analytics","Campania",1,"CAMPANIA"
"181","Clinical Practice","Campania",0,"CAMPANIA"
"182","Cloud","Campania",2,"CAMPANIA"
"183","Cloud Computing","Campania",2,"CAMPANIA"
"184","Competenze Digitali","Campania",2,"CAMPANIA"
"185","Cybersecurity","Campania",1,"CAMPANIA"
"186","Data Analytics","Campania",3,"CAMPANIA"
"187","Data Management","Campania",1,"CAMPANIA"
"188","Data Science","Campania",5,"CAMPANIA"
"189","Deep Learning","Campania",3,"CAMPANIA"
"190","Digital Humanities","Campania",2,"CAMPANIA"
"191","Digital Marketing","Campania",3,"CAMPANIA"
"192","Digital Transformation","Campania",1,"CAMPANIA"
"193","Diritto Della Proprietà Intellettuale","Campania",0,"CAMPANIA"
"194","Economia Circolare","Campania",5,"CAMPANIA"
"195","Ethics","Campania",0,"CAMPANIA"
"196","Fake News","Campania",0,"CAMPANIA"
"197","Flipped Classroom","Campania",0,"CAMPANIA"
"198","Genealogia","Campania",0,"CAMPANIA"
"199","Giustizia Riparativa","Campania",0,"CAMPANIA"
"200","Giustizia Sociale","Campania",0,"CAMPANIA"
"201","Green","Campania",2,"CAMPANIA"
"202","Green Economy","Campania",2,"CAMPANIA"
"203","Industrial Engineering","Campania",0,"CAMPANIA"
"204","Internet Delle Cose","Campania",1,"CAMPANIA"
"205","Internet Of Things","Campania",1,"CAMPANIA"
"206","Machine Learning","Campania",6,"CAMPANIA"
"207","Malattie Rare","Campania",1,"CAMPANIA"
"208","Marketing Digitale","Campania",1,"CAMPANIA"
"209","Mobilità Elettrica","Campania",0,"CAMPANIA"
"210","Motori Elettrici","Campania",0,"CAMPANIA"
"211","Nutraceutica","Campania",0,"CAMPANIA"
"212","Obiettivi Di Sviluppo Sostenibile","Campania",0,"CAMPANIA"
"213","Posture","Campania",0,"CAMPANIA"
"214","Priority","Campania",0,"CAMPANIA"
"215","Python","Campania",1,"CAMPANIA"
"216","Rilevamento Topografico","Campania",0,"CAMPANIA"
"217","Scalabilità","Campania",0,"CAMPANIA"
"218","Scienze Delle Produzioni","Campania",0,"CAMPANIA"
"219","Scienze Gastronomiche","Campania",0,"CAMPANIA"
"220","Service Design","Campania",0,"CAMPANIA"
"221","Servizi E Applicazioni","Campania",0,"CAMPANIA"
"222","Soft Skills","Campania",1,"CAMPANIA"
"223","Sustainability","Campania",3,"CAMPANIA"
"224","Sustainable Development Goals","Campania",0,"CAMPANIA"
"225","Tecnologie Ingegneristiche","Campania",1,"CAMPANIA"
"226","Text Mining","Campania",0,"CAMPANIA"
"227","Things","Campania",0,"CAMPANIA"
"228","Trasformazione Digitale","Campania",2,"CAMPANIA"
"229","Agricoltura Di Precisione","Emilia-Romagna",3,"EMILIA-ROMAGNA"
"230","Analisi Delle Serie Storiche","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"231","Analytics","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"232","Artificial Intelligence","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"233","Big Data","Emilia-Romagna",11,"EMILIA-ROMAGNA"
